127.0.0.1 - - [22/May/2022:11:51:08 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/May/2022:11:51:10 +0300] "GET /LearnersAcademy/index.jsp HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [22/May/2022:11:51:11 +0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/May/2022:11:51:17 +0300] "POST /LearnersAcademy/AdminDashboard HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [22/May/2022:11:51:22 +0300] "POST /LearnersAcademy/AdminDashboard HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:51:26 +0300] "GET /LearnersAcademy/ViewClassList.jsp HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [22/May/2022:11:51:32 +0300] "POST /LearnersAcademy/admindashboard.jsp HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:51:34 +0300] "GET /LearnersAcademy/AddNewClass.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [22/May/2022:11:51:39 +0300] "POST /LearnersAcademy/admindashboard.jsp HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:51:41 +0300] "GET /LearnersAcademy/classReport.jsp HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [22/May/2022:11:51:46 +0300] "GET /LearnersAcademy/viewClassReport.jsp?classname=Bachelor+Of+Computer+Application-BCA HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [22/May/2022:11:51:48 +0300] "POST /LearnersAcademy/admindashboard.jsp HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:51:50 +0300] "POST /LearnersAcademy/index.jsp HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [22/May/2022:11:52:16 +0300] "GET /LearnersAcademy/index.jsp HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [22/May/2022:11:52:22 +0300] "POST /LearnersAcademy/AdminDashboard HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [22/May/2022:11:52:28 +0300] "POST /LearnersAcademy/AdminDashboard HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:52:35 +0300] "GET /LearnersAcademy/ViewClassList.jsp HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [22/May/2022:11:52:39 +0300] "POST /LearnersAcademy/admindashboard.jsp HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:52:40 +0300] "GET /LearnersAcademy/AddNewClass.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [22/May/2022:11:52:48 +0300] "POST /LearnersAcademy/admindashboard.jsp HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:52:49 +0300] "GET /LearnersAcademy/editclass.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [22/May/2022:11:52:56 +0300] "GET /LearnersAcademy/admindashboard.jsp HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:52:58 +0300] "GET /LearnersAcademy/deleteclass.jsp HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [22/May/2022:11:53:00 +0300] "GET /LearnersAcademy/admindashboard.jsp HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:53:04 +0300] "GET /LearnersAcademy/assignSubandTeacher.jsp HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [22/May/2022:11:53:22 +0300] "GET /LearnersAcademy/admindashboard.jsp HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:53:24 +0300] "GET /LearnersAcademy/classReport.jsp HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [22/May/2022:11:53:28 +0300] "GET /LearnersAcademy/viewClassReport.jsp?classname=Bachelor+Of+Computer+Application-BCA HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [22/May/2022:11:53:46 +0300] "POST /LearnersAcademy/admindashboard.jsp HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:53:49 +0300] "GET /LearnersAcademy/ViewStudList.jsp HTTP/1.1" 200 6440
0:0:0:0:0:0:0:1 - - [22/May/2022:11:53:52 +0300] "POST /LearnersAcademy/admindashboard.jsp HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:53:53 +0300] "GET /LearnersAcademy/AddNewStud.jsp HTTP/1.1" 200 7490
0:0:0:0:0:0:0:1 - - [22/May/2022:11:53:59 +0300] "POST /LearnersAcademy/admindashboard.jsp HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:54:02 +0300] "GET /LearnersAcademy/AssignStudToClass.jsp HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [22/May/2022:11:54:09 +0300] "GET /LearnersAcademy/admindashboard.jsp HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:54:22 +0300] "POST /LearnersAcademy/index.jsp HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [22/May/2022:11:54:24 +0300] "POST /LearnersAcademy/AdminDashboard HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [22/May/2022:11:54:29 +0300] "POST /LearnersAcademy/AdminDashboard HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [22/May/2022:11:54:34 +0300] "POST /LearnersAcademy/AdminDashboard HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [22/May/2022:11:54:36 +0300] "POST /LearnersAcademy/index.jsp HTTP/1.1" 200 727
